"SampleID","Observed_Age","Pred_ENet"
"GSM1343050",57.9,56.749620156159
"GSM1343051",42,43.8465025555247
"GSM1343052",47.4,47.7599147003547
"GSM1343055",54.6,57.7140986934015
"GSM1343056",59.7,56.3271445680706
"GSM1343057",52.3,46.9078488252076
"GSM1343058",60.3,59.1777022371419
"GSM1343059",38.2,38.6706504119147
"GSM1343060",52.8,60.5299700807504
"GSM1343061",45.6,51.9845059453671
"GSM1343062",58,66.9911500630725
"GSM1343064",57,52.849313525771
"GSM1343065",39.8,43.7566158602726
"GSM1343066",37.3,39.7003447237699
"GSM1343067",43,44.8086410394392
"GSM1343068",63.7,57.8988027581989
"GSM1343069",52,52.0808482175811
"GSM1343071",47.6,49.6469079726611
"GSM1343072",49.3,50.1011683953926
"GSM1343073",55.8,54.0643567985999
"GSM1343075",40.1,41.3632578566895
"GSM1343076",68,60.8420100798782
"GSM1343077",43.1,48.9703089606908
"GSM1343078",53.1,57.2239907848072
"GSM1343080",61.6,58.2190128656886
"GSM1343122",37,39.5105402791459
"GSM1343123",43.8,50.7575649530515
"GSM1343124",47.4,49.7417505847665
"GSM1343125",38.6,41.5451725151998
"GSM1343126",44.3,43.6200789192112
"GSM1343127",50.4,55.7545567725745
"GSM1343128",56.5,59.3845809514015
"GSM1343129",66.5,70.1616633915214
"GSM1343130",35.7,44.987317596533
"GSM1343131",44,49.4655038862719
"GSM1343132",51.1,52.5508148148139
"GSM1343133",43.3,41.9439836616954
"GSM1343134",55.5,54.9753133425255
"GSM1343135",68.5,69.55317868411
"GSM1343136",37,40.8471091831884
"GSM1343137",49.7,47.4057715586832
"GSM1343138",50.2,51.8041868345546
"GSM1343139",68.8,60.9679816499853
"GSM1343140",52.3,57.8325368987499
"GSM1343141",54.6,59.6363484137346
"GSM1343142",47.8,53.937479668348
"GSM1343143",66.6,55.7774036503803
"GSM1343144",57.2,50.9902527736534
"GSM1343145",57.2,56.1000979552674
"GSM1343146",58.5,52.487786512028
"GSM1343147",44.5,47.2358248020788
"GSM1343148",49.5,52.9606024464516
"GSM1343149",61,56.4986108862049
"GSM1343150",53.1,53.664489006477
"GSM1343151",59.5,56.7018051977306
"GSM1343152",43.2,43.8702262215488
"GSM1343153",24.5,25.5488802020705
"GSM1343154",47.7,48.8966246630797
"GSM1343155",60.5,52.1205826060008
"GSM1343156",35.3,33.9506235495594
"GSM1343157",61.8,58.6224525784117
"GSM1343158",41.2,42.8884733959777
"GSM1343159",49.4,47.710512060794
"GSM1343160",43,49.523896834987
"GSM1343161",52.6,55.8516335640705
"GSM1343162",43.2,47.6883751385173
"GSM1343163",55.4,54.9389510485162
"GSM1343164",46.6,51.861618794067
"GSM1343165",67.9,68.0313129330186
"GSM1343166",41.9,48.7751826549198
"GSM1343167",74.5,68.5306169082591
"GSM1343168",60.6,58.5083180845427
"GSM1343169",71.6,61.4483965764169
"GSM1343170",69.2,67.2330218064876
"GSM1343171",65.7,63.0912017402966
"GSM1343172",54.2,54.0536897613319
"GSM1343173",39.6,43.0252888450949
"GSM1343174",60,58.3837985829429
"GSM1343175",40.6,46.2407138338606
"GSM1343176",44.6,41.2400816011788
"GSM1343177",65.3,66.3402936512633
"GSM1343178",35.3,39.0295976138976
"GSM1343179",58.6,49.7252075367649
"GSM1343180",66.6,64.8776875021996
"GSM1343181",35.2,36.7168587851038
"GSM1343182",73.7,67.435171266315
