"SampleID","Observed_Age","Pred_ENet"
"GSM1343050",57.9,56.7021876222038
"GSM1343051",42,45.0162149532333
"GSM1343052",47.4,47.7484247046876
"GSM1343055",54.6,58.0320547773392
"GSM1343056",59.7,55.2379695638097
"GSM1343057",52.3,46.8344929871223
"GSM1343058",60.3,59.5102083924318
"GSM1343059",38.2,38.8342188848006
"GSM1343060",52.8,60.7906328190294
"GSM1343061",45.6,52.6768225658594
"GSM1343062",58,67.867946204192
"GSM1343064",57,53.4047329231853
"GSM1343065",39.8,43.7081202804165
"GSM1343066",37.3,40.5514067484265
"GSM1343067",43,44.5610214556063
"GSM1343068",63.7,57.3277334905967
"GSM1343069",52,51.4211643583902
"GSM1343071",47.6,49.747254734986
"GSM1343072",49.3,51.0216324964398
"GSM1343073",55.8,53.8638432658007
"GSM1343075",40.1,40.9760085010821
"GSM1343076",68,61.9653752033336
"GSM1343077",43.1,50.0896131721955
"GSM1343078",53.1,57.8735605919464
"GSM1343080",61.6,57.87785687822
"GSM1343122",37,41.1121620057803
"GSM1343123",43.8,50.5347947481364
"GSM1343124",47.4,49.1775190364016
"GSM1343125",38.6,42.298628988526
"GSM1343126",44.3,44.7220149506054
"GSM1343127",50.4,55.8157830042203
"GSM1343128",56.5,58.6290648920179
"GSM1343129",66.5,70.9934586530968
"GSM1343130",35.7,46.1623592144188
"GSM1343131",44,49.6555757242994
"GSM1343132",51.1,52.1900113773634
"GSM1343133",43.3,42.1065039675161
"GSM1343134",55.5,54.4407459631194
"GSM1343135",68.5,70.8605492780683
"GSM1343136",37,41.1047322697939
"GSM1343137",49.7,47.1112748098101
"GSM1343138",50.2,51.3534412782299
"GSM1343139",68.8,61.2590575042512
"GSM1343140",52.3,56.8112578742899
"GSM1343141",54.6,58.6671242195624
"GSM1343142",47.8,54.5324208135625
"GSM1343143",66.6,55.1718524111816
"GSM1343144",57.2,51.1261235502638
"GSM1343145",57.2,56.0554243566609
"GSM1343146",58.5,50.6898986312342
"GSM1343147",44.5,47.4385116557601
"GSM1343148",49.5,52.1955524462908
"GSM1343149",61,55.2389095096544
"GSM1343150",53.1,53.4849810012215
"GSM1343151",59.5,56.8797081945413
"GSM1343152",43.2,43.7040261195092
"GSM1343153",24.5,25.502785844181
"GSM1343154",47.7,48.9763412445766
