"Pathway_Name","KEGG_ID","PValue","Adjusted_PValue","Methylation_Status","KEGG_Link"
"Inositol phosphate metabolism","hsa00562",0.00065537721144183,0.0056810484221484,"Hypomethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa00562"
"Phosphatidylinositol signaling system","hsa04070",0.00103291789493607,0.0056810484221484,"Hypomethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa04070"
"Cytoskeleton in muscle cells","hsa04820",0.00176903497665752,0.0106142098599451,"Hypermethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa04820"
"Type II diabetes mellitus","hsa04930",0.0147749873219124,0.0443249619657372,"Hypermethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa04930"
"Motor proteins","hsa04814",0.060954523255458,0.0918140693951679,"Hypermethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa04814"
"Endocytosis","hsa04144",0.0775184426488474,0.0918140693951679,"Hypermethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa04144"
"Calcium signaling pathway","hsa04020",0.0781170679154031,0.0918140693951679,"Hypermethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa04020"
"MAPK signaling pathway","hsa04010",0.0918140693951679,0.0918140693951679,"Hypermethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa04010"
"Malaria","hsa05144",0.0260538040300151,0.0955306147767221,"Hypomethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa05144"
"Staphylococcus aureus infection","hsa05150",0.0525707997136792,0.126787378305789,"Hypomethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa05150"
"Cell adhesion molecules","hsa04514",0.0814627668772837,0.126787378305789,"Hypomethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa04514"
"Neutrophil extracellular trap formation","hsa04613",0.0990381699030286,0.126787378305789,"Hypomethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa04613"
"Lipid and atherosclerosis","hsa05417",0.108685386332769,0.126787378305789,"Hypomethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa05417"
"Cytoskeleton in muscle cells","hsa04820",0.116820384369273,0.126787378305789,"Hypomethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa04820"
"Ras signaling pathway","hsa04014",0.11920169131992,0.126787378305789,"Hypomethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa04014"
"Coronavirus disease - COVID-19","hsa05171",0.11920169131992,0.126787378305789,"Hypomethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa05171"
"Calcium signaling pathway","hsa04020",0.126787378305789,0.126787378305789,"Hypomethylated","https://www.kegg.jp/dbget-bin/www_bget?hsa04020"
