SampleID,Observed_Age,Pred_RF
GSM1344756,66.9,59.55000000000004
GSM1345521,61.9,53.49399999999999
GSM1344485,48.4,46.607999999999976
GSM1345439,44.0,55.17300000000003
GSM1343299,45.3,51.304666666666705
GSM1344016,46.8,46.06566666666667
GSM1345681,40.1,42.17433333333337
GSM1345207,48.0,51.82699999999999
GSM1343217,54.7,45.50666666666668
GSM1345534,61.2,56.273666666666685
GSM1345356,56.7,57.13833333333332
GSM1343131,44.0,51.399666666666675
GSM1343396,42.7,49.802666666666696
GSM1344803,61.7,55.34966666666667
GSM1343205,41.0,43.732000000000035
GSM1343187,73.1,65.03299999999999
GSM1345425,37.7,42.41166666666669
GSM1343982,73.6,59.478000000000016
GSM1344062,46.8,55.98133333333334
GSM1343668,46.5,51.33266666666669
GSM1345679,55.2,50.407666666666685
GSM1345072,44.8,49.84499999999999
GSM1344626,53.5,51.87800000000005
GSM1344321,49.2,48.73600000000002
GSM1345708,43.8,49.35433333333329
GSM1345738,60.8,48.69066666666667
GSM1345616,42.5,53.04633333333333
GSM1345759,39.5,48.07533333333337
GSM1345597,37.4,40.56100000000004
GSM1344083,51.8,51.01666666666666
GSM1343228,36.1,42.017666666666685
GSM1343890,40.4,43.190333333333335
GSM1344014,54.9,52.073333333333366
GSM1344789,45.9,43.38766666666667
GSM1343499,44.7,47.32566666666668
GSM1345596,50.2,50.50933333333333
GSM1344611,42.0,39.91800000000005
GSM1343959,36.2,48.06866666666669
GSM1344805,55.3,50.99500000000003
GSM1345557,41.7,44.78233333333332
GSM1344904,51.6,49.06666666666667
GSM1344308,54.1,48.99300000000003
GSM1344826,43.2,48.90933333333337
GSM1344128,50.2,54.28566666666668
GSM1345449,57.2,45.58099999999997
GSM1345366,50.5,51.25266666666665
GSM1343750,41.1,49.46966666666667
GSM1345124,50.8,57.89466666666669
GSM1344586,74.4,62.786666666666704
GSM1343730,48.8,55.52100000000001
GSM1344979,62.4,55.86800000000003
GSM1343150,53.1,49.419333333333384
GSM1345121,46.9,47.800666666666686
GSM1343274,59.7,54.76733333333336
GSM1343050,57.9,54.65600000000001
GSM1344136,54.9,46.74200000000005
GSM1344640,40.7,47.46
GSM1343056,59.7,55.612666666666655
GSM1343154,47.7,45.99100000000001
GSM1343948,45.0,44.28566666666672
GSM1345477,50.2,50.80433333333337
GSM1344441,46.6,43.120333333333384
GSM1345694,44.7,52.61433333333333
GSM1343059,38.2,42.04766666666664
GSM1345662,36.5,40.50166666666667
