"Array_ID","GSM_ID"
"7786915023_R02C02","GSM1343050"
"7786915135_R04C02","GSM1343051"
"7471147149_R06C01","GSM1343052"
"7786915035_R05C01","GSM1343053"
"7786923035_R01C01","GSM1343054"
"7471147072_R01C02","GSM1343055"
"7471147107_R05C02","GSM1343056"
"7786923028_R05C02","GSM1343057"
"7512560087_R03C01","GSM1343058"
"7786923066_R01C01","GSM1343059"
"7786923023_R02C01","GSM1343060"
"7471147145_R06C01","GSM1343061"
"7796814020_R04C02","GSM1343062"
"7471147067_R02C02","GSM1343063"
"7786915052_R01C01","GSM1343064"
"7786923050_R03C01","GSM1343065"
"7471147069_R02C02","GSM1343066"
"7786923038_R03C02","GSM1343067"
"7507875153_R03C02","GSM1343068"
"7471147034_R03C01","GSM1343069"
"7471147081_R06C01","GSM1343070"
"7786923028_R03C01","GSM1343071"
"7786923001_R06C01","GSM1343072"
"7471147089_R06C01","GSM1343073"
"7786915048_R04C01","GSM1343074"
"7471147134_R02C01","GSM1343075"
"7786915153_R05C01","GSM1343076"
"7507875154_R05C01","GSM1343077"
"7786915105_R02C01","GSM1343078"
"7786923077_R04C01","GSM1343079"
"7786923067_R06C01","GSM1343080"
"7786915047_R02C02","GSM1343081"
"7471147022_R02C02","GSM1343082"
"7786915116_R06C02","GSM1343083"
"7786915075_R05C01","GSM1343084"
"7786915069_R03C01","GSM1343085"
"7512551008_R01C02","GSM1343086"
"7512560138_R03C01","GSM1343087"
"7512551008_R01C01","GSM1343088"
"7512578059_R01C02","GSM1343089"
"7512578059_R03C02","GSM1343090"
"7512551008_R03C02","GSM1343091"
"7786915157_R06C01","GSM1343092"
"7512551008_R06C01","GSM1343093"
"7786915157_R01C01","GSM1343094"
"7512578059_R06C02","GSM1343095"
"7512551008_R03C01","GSM1343096"
"7786915157_R01C02","GSM1343097"
"7512551008_R02C01","GSM1343098"
"7512551008_R06C02","GSM1343099"
"7786915157_R02C02","GSM1343100"
"7786915157_R04C01","GSM1343101"
"7786915157_R03C02","GSM1343102"
"7512578059_R04C02","GSM1343103"
"7512551008_R02C02","GSM1343104"
"7786915157_R06C02","GSM1343105"
"7512551008_R04C01","GSM1343106"
"7512551008_R05C02","GSM1343107"
"7512560138_R02C01","GSM1343108"
"7512560138_R05C01","GSM1343109"
"7786915157_R05C01","GSM1343110"
"7512560138_R04C01","GSM1343111"
"7786915157_R02C01","GSM1343112"
"7786915157_R05C02","GSM1343113"
"7512578059_R05C02","GSM1343114"
"7512551008_R04C02","GSM1343115"
"7512560138_R06C01","GSM1343116"
"7786915157_R03C01","GSM1343117"
"7786915157_R04C02","GSM1343118"
"7512578059_R02C02","GSM1343119"
"7512560138_R01C01","GSM1343120"
"7512551008_R05C01","GSM1343121"
"7471147002_R01C01","GSM1343122"
"7471147002_R01C02","GSM1343123"
"7471147002_R02C01","GSM1343124"
"7471147002_R02C02","GSM1343125"
"7471147002_R03C01","GSM1343126"
"7471147002_R03C02","GSM1343127"
"7471147002_R04C01","GSM1343128"
"7471147002_R04C02","GSM1343129"
"7471147002_R05C01","GSM1343130"
"7471147002_R05C02","GSM1343131"
"7471147002_R06C02","GSM1343132"
"7471147003_R01C02","GSM1343133"
"7471147003_R02C01","GSM1343134"
"7471147003_R02C02","GSM1343135"
"7471147003_R03C01","GSM1343136"
"7471147003_R03C02","GSM1343137"
"7471147003_R04C02","GSM1343138"
"7471147003_R05C01","GSM1343139"
"7471147003_R05C02","GSM1343140"
