"CpG","Weight","Methylation_Change"
"cg00860090",-1.28317936191175,"Hypomethylated"
"cg00653615",-0.960979667033226,"Hypomethylated"
"cg02901139",-0.827331772138923,"Hypomethylated"
"cg01561629",-0.821905915993408,"Hypomethylated"
"cg01832549",0.765282087976478,"Hypermethylated"
"cg01901101",0.683294816431563,"Hypermethylated"
"cg00116092",0.677229531343312,"Hypermethylated"
"cg01974375",-0.674430532465656,"Hypomethylated"
"cg01557798",0.66235159447427,"Hypermethylated"
"cg02294302",-0.623209917045116,"Hypomethylated"
"cg00019759",0.56092946695821,"Hypermethylated"
"cg01850505",-0.560228224911056,"Hypomethylated"
"cg00251125",-0.552351306615094,"Hypomethylated"
"cg01785514",-0.542194705538653,"Hypomethylated"
"cg02177231",0.51744835578739,"Hypermethylated"
"cg01352586",0.51553919298659,"Hypermethylated"
"cg00891995",-0.512320018414972,"Hypomethylated"
"cg02431597",0.499094351372161,"Hypermethylated"
"cg01459453",-0.497828470465431,"Hypomethylated"
"cg00039326",-0.487105730762768,"Hypomethylated"
